BIOE122L-02,Invertebrt Zool Lab,30316,"Marinovic,B.B.",Lg Discovery 128,W 08:30AM-12:30PM
BIOE122L-03,Invertebrt Zool Lab,30315,"Marinovic,B.B.",Lg Discovery 128,W 01:30PM-05:30PM
BIOE122L-04,Invertebrt Zool Lab,30314,"Marinovic,B.B.",Lg Discovery 128,Th 01:00PM-05:00PM
BIOE125-01,Ecosystems of Calif,32364,"Bernier,K.M.",Online,TBD
BIOE131-01,Animal Physiology,30310,"Mehta,R.",CoastBio 110,TuTh 12:25PM-02:00PM
BIOE131L-01,Animal Physiolo Lab,30308,"Mehta,R.",CoastBio 115,Tu 02:25PM-05:25PM
BIOE131L-02,Animal Physiolo Lab,30307,"Mehta,R.",CoastBio 115,W 08:00AM-11:00AM
BIOE131L-03,Animal Physiolo Lab,30306,"Mehta,R.",CoastBio 115,Th 02:25PM-05:25PM
BIOE137-01,Molecular Eco,30305,"Meyer,R.",CoastBio 110,TuTh 08:25AM-10:00AM
BIOE137L-01,Molecular Eco Lab,30304,"Meyer,R.",CoastBio 115,Tu 10:25AM-01:25PM
BIOE140-01,Behavioral Ecology,30301,"Casey,C.B.",Online,MW 10:00AM-11:35AM
BIOE141L-01,Behav Ecol Fld Crs,30296,"Lyon,B.E.",Lg Discovery 128,TuTh 08:00AM-12:00PM
BIOE145-01,Plant Ecology,30293,"Parker,I.M.",CoastBio 110,MW 10:00AM-11:35AM
BIOE159A-01,Fld Qtr:Marine Ecol,32366,"Raimondi,P.T.",TBD In Person,TBD
BIOE159C-01,Fld Qtr:Field Ecolo,32367,"Raimondi,P.T.",TBD In Person,TBD
BIOE159D-01,Fld Qtr:Fld Eco Lab,32368,"Kroeker,K.J.",TBD In Person,TBD
BIOE159F-01,Global Change Ecology,32372,"Kroeker,K.J.",TBD In Person,TBD
BIOE163-01,Reef/Mangrv/Seagras,30290,"Potts,D.C.",CoastBio 110,MW 03:25PM-05:00PM
BIOE163L-01,Reef/Mangr Eco Lab,30289,"Potts,D.C.",CoastBio 115,W 12:00PM-03:00PM
BIOE172-01,Population Genetics,32030,"Cornejo,O.",CoastBio 110,MW 08:00AM-09:35AM
BIOE183W-01,Research in EEB,30256,"Kelley,J.L.",,203
BIOE186-01,Exp Design Data Analys,30287,"Beltran,R.S.",,115
BIOE203-01,Intro Seminar EEB,30283,"Zavaleta,E.S.",CoastBio 203,TuTh 09:00AM-11:00AM
BIOE208-01,Marine Ecology,45173,"Carr,M.H.",CoastBio 110,TuTh 04:25PM-06:00PM
